id,comment_text,delays,access,costs,not about,errors
Polycystic_Ovary_Syndrome-494291-1-1,Maybe wait 4 years till your 20 ish then go to a doctor get some help go see a gyco .,0,0,0,1,0
Osteoarthritis-641026-5-63,my general doctor does not feel comfortable with the protocol the bone doctor says I should be on so I am waiting for a referral to the pain clinic .,0,0,0,1,0
Supraventricular_Tachycardia--40948-1-14,From being admitted to the ward and then to be taken through to the lab the care and compassion i received was fantastic and second to none .,0,1,0,0,0
HRT_Hormone_Replacement_Therapy-507630-30-1,I think it was pretty low as I am 52 and had not had a cycle since December and was literally losing my mind ! Thought I would have to be taken to a psych ward that is how bad I was .,0,1,0,0,0
Depression-425443-3-3,"I presume from what you have said that there is very little money in the household and if that is still the case I suggest you trying to get a part-time job , eg paper round , gardening for neighbours , even car washing for people who can not be bothered or are too busy to take the car to have it washed , you never know you may start a successful business from something that makes a few quid for now .",0,0,0,1,0
Ovarian_Cyst-520553-5-3,i hope i dont have to wait too long for the surgery .,1,0,0,0,0
Fibromyalgia_Syndrome--31715-47-1,"Yes , Tess insurance does seem to be very expensive , Chris takes his tes at the end of the month and has been looking at cars etc .",0,0,1,0,0
Fibromyalgia_Syndrome-565603-17-1,"This is what I did , I allowed them to contact my gp and get my records as back as they wanted , I had nothing to hide , so they asked for me to sign over all my medical records even for the past 12-18 months , hat s what they did and they could not believe the amount of notes , however that totally went in my favour as it was all down in black and white , every visit to me doctor was inside there , the dwp said , o my goodness this person is really unwell i was able to prove my limits and my needs",0,0,0,1,0
Genital_Herpes_Simplex-602356-3-3,"But it is definitely like you said , the transmission can not occur that easily , even in the theory there is a small risk .",0,0,0,1,0
Anxiety_Disorders-657064-7-4,most no longer part of life .,0,0,0,1,0
Levothyroxine_Sodium-497878-0-8,I get bouts of energy but they are short lived and I always pay the price at the end .,0,0,0,1,0
Haemochromatosis-553048-0-1,how long should i expect to wait from seeing consultant to having my vs and appointment for scans etc ? cheers .,1,0,0,0,0
Aortic_Aneurysm_and_Dissection-338212-34-4,"I told her what the cardioligst said and told her I was willing to come to him , so she made an appointment for June , then a few days later , I got a letter saying my appointment had been changed to August ? When adoctortor tells you , if it is not fixed , it will burst and you will die and your sat waiting to get on the waiting list 5 months later , with 2 more months until you see the surgeon agin .",1,0,0,0,0
Frozen_Shoulder-626252-1-1,"Not sure where you live or what is available , but states in the US with medical marijuana that is legal to prescribe for pain will not make you high .",0,0,0,1,0
Rheumatoid_Arthritis-562105-0-1,"please can someone advise me , for the last 5 years I have been treated for gout , following admission into hospital and knee was aspirated .",0,1,0,0,0
Prostate_Problems--61900-267-8,"But I believe today it is a money making proposition more than a medical one , so the most expensive treatments are likely to be the ones on offer .",0,0,1,0,0
Polymyalgia_Rheumatica_and_GCA-568460-5-7,This even although all my symptoms were physical and I had never once complained of an even vaguely low mood ! The GP who put me on pred still ordered an ESR before making her diagnosis - but she put me on 20mg pred immediately without waiting for the test results .,0,0,0,1,0
Menopause-654471-0-2,"this scan as I have health anxiety and could not wait 6 weeks , nyway I tried to contact my doctor a couple of times after this she eventually called me back and told me the outcome said radiographer had not done a referral , but she was referring me fast track to a gynocologist because of the thickening , I replied in total melt down do you think I have cancer , her reply was no , I am almost certain it will come back clear , and that I am being seen quickly in the circumstances , but this has sent",1,0,0,0,0
Chronic_Fatigue_Syndrome-684398-0-12,I Miss being the fun me that i and everyone loves .,0,0,0,1,0
Lyme_Disease-538465-1-7,Needs special testing unavailable most places as yet .,0,1,0,0,0
Polymyalgia_Rheumatica_and_GCA-553269-11-3,"Another 24 hours delay in the chest x-ray that should have been done 3 weeks earlier and he would have been too ill to start the chemotherapy that saved his life , I saw the expression on the oncologist s face when he arrived for the first lot .",1,0,0,0,0
Uterine_Fibroids-612418-9-4,"If do not want either Esyma which I have heard it has side effects and it may not work , ask for a 2nd opinion and if you can afford go private , my procedure was together with flights and hotel in July 1100 .",0,0,0,1,0
Anxiety_Disorders-602036-0-28,"Nobody I speak to genuinely understands how it feels to have your life taken over by anxiety , I feel embarrassed having to tell people about it , I am even missing my own dads wedding because I can not travel far ( I panic in cars ) .",0,0,0,1,0
Reflux_Oesophagitis-477354-10-1,"It is a demanding operation though , and might be worth you looking into the newer procedures such as LINX and endostim , although endostim is only available privately , and is costly .",0,1,0,0,0
Prostate_Problems-583514-15-1,contact me if you want the name of a reliable Canadian pharmacy I use - they sell a generic Indian one and it is FDA approved and much more affordable .,0,0,1,0,0
Oesophageal_Achalasia_and_Spasm-509202-4-3,"I would also pursue further consultations investigations by your consultant to get a better managed situation , since most Achalasians seem to get to a point where the disorder is tolerable in most circumstances .",0,1,0,0,0
Hip_Replacement-609598-3-2,info forums discuss thr-useful-resources - scroll all the way down until you get to A Layman s Guide -487147 - On hindsight I think I had some information at pre-op day in addition to a big envelop - It just did not make sense to me at that time - What mistakes did you make and what are you so worried about ? Let us know how you are getting on okay big warm hug renee .,0,0,0,1,0
Alcohol_Consumption-651626-10-8,"The other way is to see a private doctor for a private prescription , but it costs .",0,0,1,0,0
Polymyalgia_Rheumatica_and_GCA-678137-15-17,Root veg and fruit should be limited - too many carbs and even if they are healthy carbs they will still tend to put weight on ! This https : patient .,0,0,0,1,0
Cauda_Equina_Syndrome--36562-3-7,Instead the neurosurgeon determined it was not ces and thus I waited another 3 weeks and had minimal removable of disk material .,1,0,0,0,0
Aortic_Aneurysm_and_Dissection-454344-0-9,"Sore , slow , bored .",0,0,0,1,0
Gout_and_Pseudogout-540522-8-4,I am sorry I misread the pyelonephritis comment - I missed the word following which makes a huge difference .,0,0,0,1,0
Tramadol-564942-0-31,So as of right know I have 8 charges against me from the state .,0,0,0,1,0
Alcohol_Consumption-358606-1-6,I will post them as soon as available .,0,0,0,1,0
